# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: D:\home\hi3519\home\btblaze\laggerblz\pyblz_top_assignments.csv
# Generated on: Mon Jan 21 20:38:11 2019

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,CLOCK50,Location,PIN_R8,Yes,,,
Ok,,LED0_OUT,Location,PIN_J13,Yes,,,
Ok,,LED1_OUT,Location,PIN_J14,Yes,,,
Ok,,LED2_OUT,Location,PIN_J15,Yes,,,
Ok,,LED3_OUT,Location,PIN_J16,Yes,,,
Ok,,LED4_OUT,Location,PIN_K15,Yes,,,
Ok,,LED5_OUT,Location,PIN_K16,Yes,,,
Ok,,LED6_OUT,Location,PIN_L13,Yes,,,
Ok,,LED7_OUT,Location,PIN_L16,Yes,,,
Ok,,RXD_IN,Location,PIN_J1,Yes,,,
Ok,,TXD_OUT,Location,PIN_J2,Yes,,,
Ok,,RXD2_IN,Location,PIN_L1,Yes,,,
Ok,,TXD2_OUT,Location,PIN_L2,Yes,,,
,<<new>>,<<new>>,<<new>>,,,,,
